구분,상호,업종,소재지,주소,전화번호,할인내용
1291,스시하야미,음식업,옥천군,충청북도 옥천군 청산면 지전길 52,043-733-7781,음식값 5% 할인
1292,시골가든,일반음식,옥천군,충청북도 옥천군 청성면 남부로 3362,043-542-6557,음료수 제공
1293,시골맛집,음식업,옥천군,충청북도 옥천군 군북면 이백1길 13-8,043-733-7797,다자녀카드결제시 5% 할인
1294,시골밥상,음식점,옥천군,충청북도 옥천군 이원면 신흥길 5-17,043-732-2234,다자녀카드결제시10%할인
1295,시골집,음식점,옥천군,충청북도 옥천군 동이면 동이농공길 129,043-731-7770,5%할인
1296,신그령가든 ,음식업,옥천군,충청북도 옥천군 청성면 남부로 3062,043-733-5700,다자녀카드결제시10%할인
1297,신숙경헤어샵,서비스,옥천군,충청북도 옥천군 청산면 지전길 34,043-732-7162,미용용품 구매시 10% 할인
1298,신영미용실,미용업,옥천군,충청북도 옥천군 옥천읍 중앙로 54,043-731-5255,다자녀카드결제시5%할인
1299,신용당,시계,옥천군,충청북도 옥천군 옥천읍 금구리 22,043-733-6611,다자녀카드결제시10%할인(시계수리판매적용)
1300,심미이발관,이용서비스,옥천군,충청북도 옥천군 안내면 현리길 88-1,,결제시 5% 할인
1301,아가방,유아용품,옥천군,충청북도 옥천군 옥천읍 중앙로 54,043-733-3882,양말 손수건 제공
1302,안남공판장,식잡주류,옥천군,충청북도 옥천군 안남면 연주길 36,043-733-4489,다자녀카드결제시5%할인(담배제외)
1303,안남떡방앗간,즉석제조가공,옥천군,충청북도 옥천군 안남면 연주길 31,043-733-7665,다자녀카드지참 현금결제시 5% 할인
1304,안남식당,일반음식,옥천군,충청북도 옥천군 안남면 연주리 74,043-732-7561,다자녀카드결제시5%할인
1305,안내농약사,농약농자재,옥천군,충청북도 옥천군 안내면 현리길 80,043-732-6329,물건값 5% 할인
1306,안내철물건재,농기구잡철물,옥천군,충청북도 옥천군 안내면 현리길 76,043-732-6797,물건값 5% 할인
1307,알파문구,문구점,옥천군,충청북도 옥천군 옥천읍 중앙로 56-3,043-731-5955,다자녀카드결제시 15%할인
1308,어머니와 장독대,음식업,옥천군,충청북도 옥천군 동이면 금강로 183,043-731-9918,결재시 5% 할인
1309,엄마손분식,음식업,옥천군,충청북도 옥천군 옥천읍 삼양로 95,043-731-8222,다자녀카드 지참시 30000원 이상 구매시 5% 할인
1310,엘리트옥천점,학생복,옥천군,충청북도 옥천군 옥천읍 중앙로 49,043-733-2509,다자녀카드결제시 5%할인
1311,여정,음식업,옥천군,충청북도 옥천군 옥천읍 중앙로 29,043-732-8833,다자녀카드 결재시 10% 할인
1312,역전돼지국밥,음식업,옥천군,충청북도 옥천군 이원면 이원역길 39-1,043-733-7920,다자녀카드결제시5%할인
1313,염미용실,미용실,옥천군,충청북도 옥천군 옥천읍 금장로 42,043-733-5544,다자녀카드결제시5%할인
1314,예쁜꽃집,생화 분화,옥천군,충청북도 옥천군 옥천읍 중앙로 30,043-731-5333,다자녀카드 결재시 5% 할인
1315,예스옵틱 안경원,안경,옥천군,충청북도 옥천군 옥천읍 중앙로 57-3,043-731-1722,다자녀카드 결제시 10%할인
1316,예인기획,제조광고이벤트,옥천군,충청북도 옥천군 옥천읍 금장로 104,043-733-3310,광고 인쇄물 이벤트비용의 10% 할인
1317,옛장터숯불갈비,음식업,옥천군,충청북도 옥천군 이원면 이원로 809,043-732-8992,다자녀카드 결재시 10% 할인
1318,오프램레스토랑,서양음식업,옥천군,충청북도 옥천군 옥천읍 송신길 186,043-733-0044,결제시 5% 할인
1319,옥고을 호박 칼국수,음식업,옥천군,충청북도 옥천군 옥천읍 문장로 49,043-731-9674,칼국수 4인분 이상 결제시 밥1인분 제공
1320,옥이네,음식업,옥천군,충청북도 옥천군 군북면 비야대정로 236,043-732-5055,  다자녀카드 결제시 음료수 1병 제공
1321,옥천BYC,의류,옥천군,충청북도 옥천군 옥천읍 삼금로 45,043-733-0049,구입비 5% 할인
1322,옥천동물병원,소매의료,옥천군,충청북도 옥천군 옥천읍 삼금로 53,043-732-8844,다자져카드결제시5%할인
1323,옥천묵집,음식업,옥천군,충청북도 옥천군 옥천읍 향수7길 8,043-732-7947,다자녀카드 지참 음료수 서비스 1병 제공
1324,옥천생삼겹살,음식업,옥천군,충청북도 옥천군 군북면 옥천로 1126,043-733-3893,다자녀카드결제시 5% 할인
1325,옥천순대국밥,음식업,옥천군,충청북도 옥천군 옥천읍 삼양로 62,043-731-0619,음료수 1병 제공
1326,옥천읍사무소구내식당,음식점,옥천군,충청북도 옥천군 옥천읍 양수로4길 5,043-730-6667,다자녀카드결제시5%할인
1327,옥천인쇄사,인쇄,옥천군,충청북도 옥천군 옥천읍 중앙로 71,043-732-1144,인쇄비 3% 할인
1328,옥천칼라스튜디오,사진촬영인화,옥천군,충청북도 옥천군 옥천읍 중앙로 13,043-733-5642,사진 촬영시 10% 할인
1329,옥천해뜨는집가든,일반음식점업,옥천군,충청북도 옥천군 동이면 적하4길 26,043-733-1780,음식값 5% 할인
1330,옥천현대서비스,자동차정비,옥천군,충청북도 옥천군 옥천읍 마장로 67,043-731-8256,다자녀카드결제시5%할인
1331,올레 수제비,음식점,옥천군,충청북도 옥천군 옥천읍 향수3길 18,043-731-1175,  다자녀카드 결제시 음료수 1병 제공
1332,요거베리 옥천점,카페,옥천군,충청북도 옥천군 옥천읍 중앙로 45-1,043-733-6982,구입비 5% 할인
1333,우리꽃방,생화 분화,옥천군,충청북도 옥천군 옥천읍 중앙로 76,043-733-6870,다자녀카드 결재시 5% 할인
1334,우리들약국,양약소매,옥천군,충청북도 옥천군 금장로 24,043-733-0187,다자녀카드결제시5%할인(제조약품제외)
1335,우리밀손칼국수,음식업,옥천군,충청북도 옥천군 군북면 소정2길 6-1,043-733-8901,음료수 2병 제공
1336,우리집 밥,음식점,옥천군,충청북도 옥천군 청산면 지전 1길 37-1,043-733-0528,음식값 10% 할인
1337,우성카센터,카센터,옥천군,충청북도 옥천군 옥천읍 옥천로 1588,043-731-2441,다자녀카드결제시5%할인
1338,우이당카페,일반음식,옥천군,충청북도 옥천군 안남면 연주3길 9,043-732-2261,음료(커피 차 등) 5% 할인
1339,울엄마 양평해장국,음식점,옥천군,충청북도 옥천군 옥천읍 동부로 34,043-732-0119,  다자녀카드 결제시 음료수 1병 제공
1340,원두막식당,음식업,옥천군,충청북도 옥천군 성면 화성3길 3,043-733-9040,다자녀카드결제시5%할인
1341,원미식당,음식점,옥천군,충청북도 옥천군 옥천읍 장야리302-1,043-732-2810,다자녀카드 결제시 음료수 1병 제공
1342,원일공예사,도장상패,옥천군,충청북도 옥천군 옥천읍 삼금로 59,043-733-3444,제작비 5% 할인
1343,유정미용실,이미용,옥천군,충청북도 옥천군 옥천읍 삼금로5길 19-3,043-731-8578,다자녀카드결제시5%할인
1344,유진슈퍼,소매(식잡주류),옥천군,충청북도 옥천군 안남면 연주길 32,043-732-7066,다자녀카드지참 현금결제시 5% 할인
1345,육각정가든,음식업,옥천군,충청북도 옥천군 안내면 안내보은로 365-5,043-733-6370,다자녀카드결제시 5% 할인
1346,은경식당,음식업,옥천군,충청북도 옥천군 동이면 옥천동이로 767,043-731-0171,음료수 제공
1347,은성식당,음식업,옥천군,충청북도 옥천군 내면 현리길 75,043-732-6062,음식값 5% 할인
1348,이가네옛날짜징,음식업,옥천군,충청북도 옥천군 안내면 안내삼승로 5-4,043-731-9288,결재시 5% 할인
1349,이모네식당,음식점,옥천군,충청북도 옥천군 옥천읍 삼양로86,043-731-0206,다자녀카드 50000원이상 결재시 음료수 1병 제공
1350,이원 페리카나,치킨,옥천군,충청북도 옥천군 이원면 신흥1길 5,043-731-6646,결제시 5% 할인
1351,이원기사식당,음식업,옥천군,충청북도 옥천군 이원면 신흥1길 3-2,043-733-0622,다자녀카드 결제시 5% 할인
1352,이원만두,음식업,옥천군,충청북도 옥천군 이원면 신흥1길 5,043-733-9238,다자녀카드 결제시 5% 할인
1353,이원슈퍼,소매업,옥천군,충청북도 옥천군 이원면 신흥길 4,043-732-2730,2만원 이상구매 시 5% 할인
1354,이은숙헤어매직,미용실,옥천군,충청북도 옥천군 이원면 신흥4길 40,043-732-9352,다자녀카드결제시 5% 할인
1355,인자헤어뉴스,미용업,옥천군,충청북도 옥천군 옥천읍 관성로 8-5,043-733-6481,다자녀카드 결제시 5% 할인
1356,인천식당,일반음식점업,옥천군,충청북도 옥천군 청산면 지전1길 35,043-733-6110,다자녀카드지참 현금결제시 5% 할인
1357,일공공일 안경원,안경,옥천군,충청북도 옥천군 옥천읍 중앙로 61,043-733-3439,다자녀카드결제시 10%할인
1358,일공공일안경콘택트,안경,옥천군,충청북도 옥천군 옥천읍 중앙로 61,043-733-3439,결재시 10% 할인
1359,일봉목욕탕,목욕업,옥천군,충청북도 옥천군 옥천읍 금장로 56,043-732-1387,다자녀카드결제시 10% 할인
1360,임마누엘 수학 교습소,학원,옥천군,충청북도 옥천군 옥천읍 관성로2길 4-2,043-733-3233,다자녀카드 결제시 수강료 20% 할인
1361,자모식당,음식점,옥천군,충청북도 옥천군 군북면 자모길 5,043-732-7672,다자녀카드 결제시 음료수 제공
1362,장닭하우스,음식점,옥천군,충청북도 옥천군 청산면 지전길 47-17,043-733-5244,음료서비스 제공
1363,장령산 뚝배기,음식점,옥천군,충청북도 옥천군 군서면 동평4길 2-2,043-733-9232,음식값 5%할인
1364,장수식당,음식업,옥천군,충청북도 옥천군 청산면 지전길 47-13,043-732-8994,음식값 5% 할인
1365,장원스포츠,스포츠용품,옥천군,충청북도 옥천군 옥천읍 삼양로 72,043-731-8979,다자녀카드결제시 5%할인
1366,장찬리소나무갤러리,식품잡화민박,옥천군,충청북도 옥천군 이원면 장찬길 388,043-732-3275,결재시 10% 할인
1367,적덕식당,읍식업,옥천군,충청북도 옥천군 옥천읍 양수로 43,043-733-8525,다자녀카드결제시 5% 할인
1368,전원송어,음식업,옥천군,충청북도 옥천군 군서면 장령산로 289,043-731-8952,다자녀카드결제시 5% 할인
1369,전원식당,음식업,옥천군,충청북도 옥천군 안내면 현리3길 2,043-732-1825,음식값 5% 할인
1370,정가네갈비,음식업,옥천군,충청북도 옥천군 청산면 지전길 17,043-732-8230,결재시 10% 할인
1371,정가든,음식업,옥천군,충청북도 옥천군 군서면 장령산로 287,043-733-6169,음료수 1병 서비스
1372,정스커피앤정스식당,음식점,옥천군,충청북도 옥천군 동이면 옥천동이로 731,,결제시 5% 할인
1373,정자가든식당,음식업(한식),옥천군,충청북도 옥천군 군북면 이백길 3,043-731-3355,식사시 음료수 무료제공
1374,정지뜰,음식점,옥천군,충청북도 옥천군 옥천읍 향수3길 22,043-732-1918,  다자녀카드 결제시 음료수 1병 제공
1375,정통옛날손짜장,음식점,옥천군,충청북도 옥천군 군북면 옥천로 1104,043-731-3312,다자녀카드 결제시 음료수 제공
1376,제일미용실,미용실,옥천군,충청북도 옥천군 이원면 신흥길 10-1,043-732-2339,다자녀카드결제시 5% 할인
1378,젤라미용실,미용업,옥천군,충청북도 옥천군 옥천읍 삼금로 22,043-733-0870,다자녀카드결제시 5%할인
1379,주연식당,음식점,옥천군,충청북도 옥천군 옥천읍 서부로16,043-731-9252,다자녀카드 결제시 음료수 1병 제공
1380,중앙식당,일반음식점업,옥천군,충청북도 옥천군 군서면 동평4길 4,043-732-4009,음료수 서비스 제공
1381,중앙약국,양무웅,옥천군,충청북도 옥천군 옥천읍 삼금로 55,043-732-1199,다자녀카드결제시5%할인(제조약품제외)
1382,진 자동차병원,써비스,옥천군,충청북도 옥천군 옥천읍 마장로 43,043-731-7410,다자녀카드결제시5%할인
1383,진솔차와 술,음식업,옥천군,충청북도 옥천군 청산면 지전길 24,,음식값 5% 할인
1384,짜장나라,음식업,옥천군,충청북도 옥천군 청산면 지전1길 3,043-732-2331,다자녀카드 결제시20%할인
1385,짱가분식,음식업,옥천군,충청북도 옥천군 청산면 지전길 36-4,043-731-4092,음식값 5% 할인
1386,찌꼬찌꼬,사진관,옥천군,충청북도 옥천군 옥천읍 중앙로6길 7,043-731-8939,다자녀카드결제시 1000원 할인(증명사진)
1387,찐만두,음식업,옥천군,충청북도 옥천군 옥천읍 중앙로9길 4,043-732-3220,음료수 1병 제공
1388,찐한식당,음식업,옥천군,충청북도 옥천군 청산면 지전길 14,043-732-3859,결재시 5% 할인
1389,청맥화원,생화분화,옥천군,충청북도 옥천군 옥천읍 삼양로 74,043-733-2112,다자녀카드결제시 5% 할인(화분)
1390,청산꽃방,생화,옥천군,충청북도 옥천군 청산면 지전1길 28,043-733-8886,다자녀카드 결제시 10%할인
1391,청산떡방앗간,제조업(방앗간),옥천군,충청북도 옥천군 청산면 지전길 49-6,043-732-8139,다자녀카드지참 현금결제시 5% 할인
1392,청산서점,문구 서적,옥천군,충청북도 옥천군 청산면 지전길 46-1,043-732-8080,문구 구입시 5% 할인
1393,청산추어탕,음식점,옥천군,충청북도 옥천군 청산면 지전1길 25,043-732-8309,음료수 제공
1394,청산해록센터,의료기기,옥천군,충청북도 옥천군 청산면 지전1길 6,,구입시 2% 할인
1395,청성떡방앗간,음식점,옥천군,충청북도 옥천군 청성면 산계길 81,043-732-5956,5만원이상구매시5천원할인
1396,청양회관,음식업,옥천군,충청북도 옥천군 청산면 지전길 47-7,043-732-8163,다자녀카드결제시 음식값 5% 할인
1397,청풍명월,음식업,옥천군,충청북도 옥천군 동이면 세산리 12-2,043-732-6811,음료수 제공
1398,체이스컬트,의류,옥천군,충청북도 옥천군 옥천읍 중앙로 47-1,043-733-7176,구입비 5% 할인
1399,칠보국시,음식점,옥천군,충청북도 옥천군 청산면 지전길 42-1,043-733-0376,음료서비스 제공
1400,카페꼬레,카페,옥천군,충청북도 옥천군 옥천읍 향수길 70,043-731-9630,커피 두 잔 이상 결제시 디저트쿠키 제공
1401,카페나나,음식업,옥천군,충청북도 옥천군 옥천읍 대학길 16,043-731-6860,결재시 5% 할인
1402,카페카즈,카페,옥천군,충청북도 옥천군 옥천읍 중앙로4길 9-1,043-731-1730,다자녀카드 결제 및 10000원 이상 구매시 5% 할인
1403,카페코레장계,음식업,옥천군,충청북도 옥천군 안내면장계1길 3,,수제쿠키 1증정(1500원)
1404,카페하고,카페,옥천군,충청북도 옥천군 옥천읍 문정리 447-10 CAFEHAGO,043-732-2058,다자녀카드 결제 및 20000원 이상 구매시 '랑떡' 제공
1405,카푸치노,휴게음식,옥천군,충청북도 옥천군 옥천읍 대학2길 2,043-731-0880,결제시 5% 할인
1406,커피타임,까페,옥천군,충청북도 옥천군 옥천읍 향수길 97,,  다자녀카드 결제시 커피(아메리카노) 1잔 제공
1407,케페밀,음식업,옥천군,충청북도 옥천군 동이면우산로 1,043-731-8944,결재시 5% 할인
1408,쿠키렐레,카페디저트,옥천군,충청북도 옥천군 이원면 묘목로 112,070-7765-4849,결제시 5% 할인
1409,쿵더쿵,음식점,옥천군,충청북도 옥천군 안내면 현리 3길 16,043-733-6696,수제쿠키(초콜렛) 증정
1410,크린토피아,세탁업,옥천군,충청북도 옥천군  금장로 114,043-731-8212,다자녀카드 결제시 5% 할인
1411,큰길헤어샵,미용실,옥천군,충청북도 옥천군 이원면 묘목로 118,043-733-7567,다자녀카드결제시 5% 할인
1412,태화장,음식점,옥천군,충청북도 옥천군 이원면 신흥1길 8,043-733-5688,음식값 5%할인
1413,토니모리,화장품,옥천군,충청북도 옥천군 옥천읍 중앙로 46-1,043-733-2113,다자녀카드 결제시 5% 할인
1414,토닥,휴게음식,옥천군,충청북도 옥천군 안내면 현리 102-4,,결제시 10% 할인
1415,토박이식당,음식업,옥천군,충청북도 옥천군 동이면 옥천동이로 665,043-732-3786,다자녀카드결제시 5%할인
1416,토속보리밥,음식업,옥천군,충청북도 옥천군 군서면 동평4길 54,043-733-5656,음료수 1병 서비스
1417,토종참쑥삼겹살,일반음식점업,옥천군,충청북도 옥천군 옥천읍 향수3길 5,043-733-4011,음식값 5% 할인
1418,통큰약초추어탕,음식업,옥천군,충청북도 옥천군 군북면 옥천로 1126,043-732-8586,음료수 1병 제공
1419,판암면옥,음식점,옥천군,충청북도 옥천군 군북면 옥천로 1159,043-731-1090,다자녀카드결제시 음료수 제공
1420,평양식당,음식업,옥천군,충청북도 옥천군 청산면 지전길 49-8,043-733-5292,다자녀카드결제시 음식값 5% 할인
1421,평화서림,문구류,옥천군,충청북도 옥천군 옥천읍 중앙로 23,043-733-5882,다자녀카드결제시 15%할인(문구류완구류(일부품목제외))
1422,평화식당,음식업,옥천군,충청북도 옥천군 청산면 지전길 37,043-733-3630,결재시 10% 할인
1423,프롬카페,카페,옥천군,충청북도 옥천군 옥천읍 문장로 95,043-731-2259,다자녀카드 결제 및 30000원 이상 구매시 '아메리카노 1잔' 제공
1424,플러스식당,음식업,옥천군,충청북도 옥천군 청산면 지전리 32,,음식값 10% 할인
1425,피렌체,휴게업,옥천군,충청북도 옥천군 청산면 지전리 46-1,043-731-5003,음식값 5% 할인
1426,하나왕족발,한식,옥천군,충청북도 옥천군 이원면 이원역길 39-1,043-731-5544,결재시 2% 할인
1427,하늘빛 오리마을,음식점,옥천군,충청북도 옥천군 옥천읍 동부로 16,043-733-5228,  다자녀카드 결제시 음료수 1병 제공
1428,하얀꽃집,생화분화,옥천군,충청북도 옥천군 옥천읍 삼금로 41,043-731-4533,다자녀카드결제시 5% 할인
1429,하얀풍차제과점,제과점,옥천군,충청북도 옥천군 옥천읍 중앙로 63,043-732-0871,다자녀카드결제시 10%할인
1430,학생사,문구점,옥천군,충청북도 옥천군 옥천읍 삼금로 57-1,043-731-2830,다자녀카드결제시 5%할인
1431,학우문구센터,문구류,옥천군,충청북도 옥천군 옥천읍 중앙로 28,043-733-0555,다자녀카드결제시 5%할인
1432,한국종합카,경정비,옥천군,충청북도 옥천군 옥천읍 옥천로 1640,043-731-6387,다자녀카드결제시 5%할인(경정비)
1433,한국타이어,타이어,옥천군,충청북도 옥천군 옥천읍 옥천로 1640,043-731-7909,다자녀카드결제시5%할인(타이어교환)
1434,한양세탁소,세탁업,옥천군,충청북도 옥천군 옥천읍 중앙로3길 3,043-733-2419,다자녀카드결제시5%할인
1435,한양식당,음식업,옥천군,충청북도 옥천군 군서면 성왕로 522,043-732-4005,다자녀카드결제시5%할인
1436,한우영농조합법인맥우,정육식당,옥천군,충청북도 옥천군 옥천읍 중앙로5길 2,043-733-8181,다자녀카드결제시10%할인
1437,한일식당,음식업,옥천군,충청북도 옥천군 청산면 지전1길 11,043-733-2927,다자녀카드결제시 음식값 5% 할인
1438,향수길식당,음식업,옥천군,충청북도 옥천군 동이면 옥천동이로 447,043-733-0447,음식값 5% 할인
1439,향수촌,음식업,옥천군,충청북도 옥천군 청성면 남부로 3025,043-731-7676,다자녀카드결제시10%할인
1440,향수한우소국밥,음식점,옥천군,충청북도 옥천군 옥천읍 향수길 6,043-731-3335,다자녀카드 결제시 음료수 1병 제공
1441,헬로순살치킨,음식점,옥천군,충청북도 옥천군 동이면 동이로 639,043-731-9954,다자녀카드결제시5%할인
1442,혜선식당,음식점,옥천군,충청북도 옥천군 옥천읍 향수3길 1번지,043-731-4876,  다자녀카드 결제시 음료수 1병 제공
1443,혜성식당,음식업,옥천군,충청북도 옥천군 옥천읍 중앙로6길 8,043-731-4969,음료수 1병 제공
1444,호반가든,음식점,옥천군,충청북도 옥천군 이원면 이원로 222,043-733-8698,결재시 2% 할인
1445,화성식당,일반음식점업,옥천군,충청북도 옥천군 청산면 지전길 24-1,043-732-8254,다자녀카드지참 현금결제시 5% 할인
1446,화평동갈비 냉면만두 ,음식점,옥천군,충청북도 옥천군 옥천읍 문장로 98-18 ,043-732-9279,다자녀카드 결제시 음료수 1병 제공
1447,환평약초체험마을,숙박 및 음식점업,옥천군,충청북도 옥천군 군북면 환산로 164,043-731-1881,다자녀카드 결제시 음료수 제공
1448,환희화장품,화장품,옥천군,충청북도 옥천군 옥천읍 삼금로 42,043-733-0471,다자녀카드 결제시 5% 할인
1449,황쏘가리,음식업,옥천군,충청북도 옥천군 동이면 조령2길 1-1,043-733-6606,음식값 5% 할인
1450,효도건강원,제조가공업,옥천군,충청북도 옥천군 안내면 현리3길 16,,구매 시 5% 할인
1451,훈민정음 학원,학원,옥천군,충청북도 옥천군 옥천읍 중앙로4길 5,043-731-7196,초등부 : 학원비 10% 할인중등부 : 학원비 30% 할인
1452,힐링터,음식업,옥천군,충청북도 옥천군 군북면 이백1길 5-1,043-733-3329,음료수 1병 제공
1453,LG 유플러스,핸드폰대리점,음성군,충청북도 음성군 맹동면 대하로 281,043-881-1750,핸드폰케이스 충전기 무상제공
1454,M(엠)마트 정육부,정육점,음성군,충청북도 음성군 삼성면 덕정로 93,043-881-8855,다자녀(셋째이상) 5%할인
1455,가인흑염소,음식업,음성군,충청북도 음성군 소이면 소이로 356,043-873-4548,다자녀(둘째부터)음식값 10%할인
1456,갈치전문점,한식,음성군,충청북도 음성군 음성읍 중앙로 156,043-873-1153,이용금액의 3% 할인
1457,감곡뚝배기해장국,일반음식점,음성군,충청북도 음성군 감곡면 가곡로 16,043-881-0708,음료수 1병 제공
1458,감곡어린이집,어린이집,음성군,충청북도 음성군 감곡면 음성로 2576번길 2-12,043-881-1266,입학금 10% 할인
1459,강산,음식업,음성군,충청북도 음성군 생극면 음성로 1746,043-877-8188,음식값 3%할인
1460,강성근컴,컴퓨터,음성군,충청북도 음성군 소이면 장구실길 62번길 43,,판매금액의 3% 할인컴퓨터 포맷비용 10% 할인
1461,강정이기가막혀,치킨,음성군,충청북도 음성군 금왕읍 탑골1길 12-1,043-877-3002,치킨 3%할인
1462,거송식당,일반음식점,음성군,충청북도 음성군 음성읍 중앙로 100,043-872-8811,판매금액의 3% 할인
1463,경서네국수집,일반음식점,음성군,충청북도 음성군 맹동면 덕금로409번길 5,043-878-9787,음식값 3%할인
1464,계백이네 닭도리탕,일반음식점,음성군,충청북도 음성군 대소면 대금로 529,043-881-9122,음식값의 3% 할인
1465,고은떡집,떡류,음성군,충청북도 음성군 맹동면 장성1길 6,043-877-8776,만원이상 결제시 3% 할인
1466,고향떡방앗간,떡류,음성군,충청북도 음성군 음성읍 중앙로 153,043-873-0102,이용금액의 3% 할인
1467,고향산천,일반음식점,음성군,충청북도 음성군 대소면 대금로 904 가동,043-878-4640,이용금액의 10%할인
1468,곤드레,음식점,음성군,충청북도 음성군 금왕읍 탑골2길 13,043-878-0099,음료수 1병 제공
1469,과일포유,청과업,음성군,맹동면 장성1길 9,043-882-3076,5% 할인
1470,광성상회,이불한복,음성군,충청북도 음성군 금왕읍 무극로308번길 14,043-877-0009,판매액의 5% 할인
1471,교동식당,음식업,음성군,충청북도 음성군 음성읍 교동길 23,043-872-8934,판매액의 3% 할인
1472,국수랑 만두랑,일반음식점,음성군,충청북도 음성군 음성읍 시장로 77번길,043-873-1114,음식값의 5% 할인
1473,굴세상,한식,음성군,충청북도 음성군 금왕읍 탑골5길 2,043-883-2969,판매액의 5% 할인
1474,금강어린이집,어린이집,음성군,충청북도 음성군 대소면 대금로511번길 144,043-877-8358,둘째자녀-입소료감면셋째자녀-입소료및신학기용품배부
1475,금왕 성모 어린이집,어린이집,음성군,충청북도 음성군 금왕읍 무극로 265번길 13,043-877-7311,입학금 10% 할인
1476,금왕 청어람 학원,보습학원,음성군,충청북도 음성군 금왕읍 무극리 504-18번지 유수장미 아파트 상가2층,043-878-6787,다자녀카드결제시 수강료 3%할인
1477,금왕서울떡집,떡류,음성군,충청북도 음성군 금왕읍 무극로308번길 9-1,043-882-9992,이용금액의 3% 할인
1478,금왕어린이집,어린이집,음성군,충청북도 음성군 금왕읍 응천서길 3,043-877-0416,두 자녀이상 입학 시 가방 증정
1479,금왕자연 어린이집,어린이집,음성군,충청북도 음성군 금왕읍 무극리 83-5,043-877-7791,이용금액의 10% 할인
1480,금왕주공어린이집,어린이집,음성군,충청북도 음성군 금왕읍 무극로 324번길 15,043-883-6326,두 자녀이상 입학 시 가방 증정
1481,길성이 음성점,음식업,음성군,충청북도 음성군 음성읍 시장로 119,043-873-3696,이용금액의 3% 할인
1482,김가네 김밥,음식점(분식),음성군,충청북도 음성군 대소면 오태로 82,043-877-2590,음식값 3% 할인
1483,김가네왕솥뚜껑,일반음식점,음성군,충청북도 음성군 생극면 음성로 1649-30,043-877-1577,음식값 5%할인
1484,김밥천국,일반음식점,음성군,충청북도 음성군 음성읍 수정로 31,043-872-7005,이용금액의 3% 할인
1485,김영희 강남동태찜&코다리냉면,일반음식점,음성군,충청북도 음성군 감곡면 장감로 122,043-883-1009,음식값 1000원 할인
1486,김영희강남동태찜,음식점,음성군,충청북도 음성군 대소면 대금로 545,043-882-5004,계란찜 서비스
1487,김점철소머리국밥,음식업,음성군,충청북도 음성군 대소면 대금로 413 ,043-882-1259,둘째이상현금결재시 3%할인
1488,꼬꼬마님,일반음식점,음성군,충청북도 음성군 감곡면 음성로 2096,043-878-3588,음료수 1병 제공
1489,꼬꼬치킨,치킨,음성군,충청북도 음성군 음성읍 문화길 3,043-873-9982,치킨 5%할인
1490,꼬망새유치원,유치원,음성군,충청북도 음성군 금왕읍 탑골길 24-11,043-878-2992,입학금 5%할인
1491,꼬망새음악학원,학원,음성군,충청북도 음성군 금왕읍 탑골길 24-11,043-881-4822,수강료 5%할인
1492,꼬망스,의류,음성군,충청북도 음성군 음성읍 시장로 78,043-873-1247,이용금액의 3% 할인
1493,꽃을사랑합니다,꽃집,음성군,충청북도 음성군 맹동면 원중로 1424,043-882-3332,사용금액의 3% 할인
1494,꿈나무어린이집,어린이집,음성군,충청북도 음성군 대소면 대화3길 15-10 ,043-881-8181,둘쩨셋째자녀 입학금 30%감면및 신학기용품 일부배부
1495,꿈사랑어린이집,어린이집,음성군,충청북도 음성군 감곡면 오향리 휴먼시아아파트,043-878-2535,입학금 20% 할인기타 필요경비내 행사비 20% 할인
1496,나드리 김밥,음식점,음성군,충청북도 음성군 감곡면 왕장리 장감로 129-1,043-882-1729,음료수 서비스
1497,나무젓가락,분식,음성군,충청북도 음성군 음성읍 중앙로 154,043-873-6556,이용금액의 3% 할인
1498,나이트노래방,노래방,음성군,충청북도 음성군 대소면 오태로 93,043-877-3566,노래방비 및 전사용금액 10%할인
1499,낙지이야기,음식점,음성군,충청북도 음성군 금왕읍 백야로 26,043-883-2288,음료수 제공
1500,남성커트실,이용업,음성군,충청북도 음성군 삼성면 대성로 623-3,043-883-4109,이용요금 20%할인
1501,남해수산(구한라휴게식당),음식업,음성군,충청북도 음성군 소이면 후삼로74번길 20,043-873-2602,음식값 3%할인
1502,내담 양푼이 대구뽈찜,한식,음성군,충청북도 음성군 금왕읍 탑골7길 13,043-882-5312,판매액의 5% 할인
1503,냉N돈,일반음식점,음성군,충청북도 음성군 음성읍 수정로 56번길 5-1,043-873-0287,이용금액의 3% 할인
1504,너 돈까스 나 육개장,일반음식점,음성군,충청북도 음성군 맹동면 원중로 1434 S타워 104호,043-877-2225,메뉴 10개 주문시 돈가스 무료
1505,네네치킨,음식업,음성군,충청북도 음성군  음성읍 시장로 78 신장호상가,043-873-9282,음식값 5%할인
1506,네이처리퍼블릭,화장품,음성군,맹동면 대하로 246,043-883-3009,2만원 이상 구매시 여행용 키트 제공
1507,네파,의류,음성군,충청북도 음성군 금왕읍 무극로 280,043-883-9175,판매액의 5% 할인
1508,놀부 부대찌개,음식업,음성군,충청북도 음성군 금왕읍 탑골길 53,043-882-7891,판매액의 5% 할인
1509,놀부네감자탕,일반음식점,음성군,충청북도 음성군  음성읍 시장로80번길 4,043-872-0308,판매금액의 3% 할인
1510,놀부보쌈부대찌개,일반음식점,음성군,충청북도 음성군 맹동면 원중로 1430,043-881-5383,음식값 3%할인
